category,rank,rate,total_reviews,excellent,very_good,average,poor,terrible
hotels,1,5.0,4973,4781,144,29,14,6
hotels,2,5.0,3050,3046,6,0,0,0
hotels,3,5.0,1931,1905,21,5,0,0
hotels,4,5.0,3290,3237,46,5,1,1
hotels,5,5.0,1374,1321,39,9,5,0
hotels,6,5.0,2185,2048,116,15,4,2
hotels,7,5.0,3637,3437,150,41,7,2
hotels,8,5.0,2895,2807,75,5,4,4
hotels,9,5.0,4632,4396,181,34,9,12
hotels,10,5.0,642,578,29,17,7,11
hotels,11,5.0,3095,2996,85,14,0,0
hotels,12,5.0,3270,2846,307,64,41,12
hotels,13,5.0,2274,2067,169,20,11,7
hotels,14,5.0,1679,1560,88,26,4,1
hotels,15,5.0,2121,1768,291,48,9,6
hotels,16,5.0,1951,1616,275,43,11,6
hotels,17,5.0,2397,2226,151,17,1,2
hotels,18,5.0,3297,2869,127,15,7,7
hotels,19,5.0,702,623,57,15,3,4
hotels,20,5.0,3070,3046,22,2,0,0
hotels,21,5.0,1449,1342,63,24,11,10
hotels,22,5.0,1737,1493,144,56,26,18
hotels,23,5.0,896,821,54,10,8,3
hotels,24,5.0,8521,7687,604,147,52,33
hotels,25,5.0,2210,1993,139,40,21,17
